Timestamp,RL,RR,MR
20220701-1033,12628,4284,6
20220702-1053,12610,4280,6
20220703-1056,12597,4275,6
20220704-1145,12576,4269,6
20220705-1151,12581,4277,6
20220706-1058,12602,4283,6
20220707-1122,12635,4295,6
20220708-1122,12654,4303,6
20220709-1055,12679,4301,6
20220710-1027,12656,4297,6
20220711-1053,12643,4289,6
20220712-1051,12654,4291,6
20220713-1037,12674,4303,6
20220714-1104,12691,4310,6
20220715-1026,12710,4308,6
20220716-1031,12718,4313,6
20220717-1033,12705,4309,6
20220718-1025,12690,4306,6
20220719-1057,12693,4302,6
20220720-1038,12697,4306,6
20220721-1050,12701,4314,6
20220722-1105,12725,4321,6
20220723-1112,12741,4322,6
20220724-1102,12734,4316,6
20220725-1051,12713,4309,6
20220726-1025,12721,4312,6
20220727-1052,12737,4315,6
20220728-1043,12745,4319,6
20220729-1104,12760,4328,6
20220730-1118,12770,4330,6
20220731-1038,12761,4327,6
20220801-1118,12747,4323,6
20220802-1046,12759,4322,6
20220803-1042,12769,4328,6
20220804-1035,12779,4331,6
20220805-1046,12789,4329,6
20220806-1117,12795,4339,6
20220807-1038,12782,4338,6
20220808-1118,12767,4333,6
20220809-1047,12773,4335,6
20220810-1036,12781,4338,6
20220811-1033,12797,4338,6
20220812-1046,12817,4341,6
20220813-1017,12822,4342,6
20220814-1032,12810,4338,6
20220815-1012,12798,4335,6
20220816-1037,12801,4340,6
20220817-1036,12803,4336,6
20220818-1032,12810,4340,6
20220819-1013,12819,4343,6
20220820-1015,12830,4347,6
20220821-1032,12820,4344,6
20220822-1027,12812,4339,6
20220823-1047,12819,4338,6
20220824-1118,12823,4344,6
20220825-1021,12828,4347,6
20220826-1126,12831,4342,6
20220827-1038,12837,4348,6
20220828-1031,12834,4346,6
20220829-1040,12830,4345,6
20220830-1045,12834,4347,6
20220831-1047,12842,4347,6
20220901-1041,12839,4349,6
20220902-1012,12848,4351,6
20220903-1031,12846,4353,6
20220904-1038,12839,4352,6
20220905-1103,12827,4350,6
20220906-1055,12833,4348,6
20220907-1051,12830,4352,6
20220908-1016,12845,4359,6
20220909-1031,12850,4364,6
20220910-1040,12857,4360,6
20220911-1032,12849,4358,6
20220912-1036,12845,4356,6
20220913-1055,12837,4354,6
20220914-1036,12844,4361,6
20220915-1036,12850,4365,6
20220916-1012,12850,4362,6
20220917-1032,12861,4361,6
20220918-1036,12855,4359,6
20220919-1026,12849,4359,6
20220920-1053,12848,4357,6
20220921-1038,12853,4361,6
20220922-1036,12857,4365,6
20220923-1018,12857,4364,6
20220924-1011,12864,4368,6
20220925-1043,12860,4363,6
20220926-1040,12853,4360,6
20220927-1051,12862,4360,6
20220928-1013,12870,4365,6
20220929-1050,12872,4369,6
20220930-1055,12884,4369,6
20221001-1022,12897,4369,6
20221002-1038,12889,4366,6
20221003-1035,12884,4361,6
20221004-1035,12891,4360,6
20221005-1042,12881,4354,6
20221006-1053,12878,4353,6
20221007-1046,12885,4349,6
20221008-1141,12888,4349,6
20221010-1032,12871,4345,6
20221011-1041,12880,4346,6
20221012-1013,12882,4346,6
20221013-1036,12888,4349,6
20221014-1043,12886,4347,6
20221016-1032,12885,4349,6
20221017-1048,12878,4347,6
20221018-1104,12882,4350,6
20221019-1038,12889,4348,6
20221020-1104,12899,4349,6
20221021-1452,12899,4353,6
20221022-1038,12909,4361,6
20221023-1046,12904,4356,6
20221024-1126,12894,4351,6
20221025-1108,12896,4353,6
20221026-1043,12903,4354,6
20221027-1051,12917,4356,6
20221028-1103,12914,4356,6
20221029-1038,12925,4356,6
20221030-1031,12919,4355,6
20221031-1052,12913,4353,6
20221101-1053,12915,4357,6
20221102-1046,12927,4352,6
20221103-1031,12925,4346,6
20221104-1036,12917,4344,6
20221105-1035,12915,4344,6
20221106-1040,12909,4344,6
20221107-1042,12896,4339,6
20221108-1026,12907,4343,6
20221109-1113,12907,4344,6
20221110-1043,12914,4349,6
20221111-1042,12912,4353,6
20221112-1040,12907,4353,6
20221113-1053,12903,4351,6
20221114-1048,12898,4347,6
20221115-1053,12893,4346,6
20221116-1053,12895,4341,6
20221117-1053,12902,4348,6
20221118-1042,12907,4350,6
20221119-1047,12919,4353,6
20221120-1037,12912,4352,6
20221121-1046,12906,4349,6
20221122-1107,12911,4349,6
20221123-1037,12920,4347,6
20221124-1045,12928,4346,6
20221125-1042,12931,4342,6
20221126-1035,12934,4341,6
20221127-1035,12927,4340,6
20221128-1049,12922,4337,6
20221129-1057,12925,4342,6
20221130-1041,12922,4339,6
20221201-1152,12920,4343,6
20221202-1055,12924,4342,6
20221203-1021,12940,4346,6
20221204-1012,12933,4342,6
20221205-1052,12921,4340,6
20221206-1053,12919,4348,6
20221207-1126,12924,4346,6
20221208-1104,12919,4343,6
20221209-1050,12927,4347,6
20221210-1046,12936,4347,6
20221211-1035,12929,4346,6
20221212-1057,12922,4343,6
20221213-1056,12921,4352,6
20221214-1056,12938,4360,6
20221215-1053,12945,4358,6
20221216-1057,12945,4359,6
20221217-1040,12958,4367,6
20221218-1106,12946,4364,6
20221219-1101,12941,4354,6
20221220-1056,12952,4352,6
20221221-1121,12963,4350,6
20221222-1057,12967,4353,6
20221223-1045,12970,4355,6
20221224-1042,12984,4360,6
20221225-1032,12984,4360,6
20221226-1050,12982,4359,6
20221227-1057,12971,4354,6
20221228-1104,12963,4351,6
20221229-1105,12964,4357,6
20221230-1051,12980,4360,6
20221231-1038,13001,4372,6
20230101-1033,12991,4371,6
20230102-1037,12979,4370,6
20230103-1051,12971,4363,6
20230104-1102,12977,4371,6
20230105-1052,12974,4370,6
20230106-1105,12985,4376,6
20230107-1116,12983,4382,6
20230108-1043,12978,4380,6
20230109-1101,12968,4374,6
20230110-1055,12973,4373,6
20230111-1056,12972,4378,6
20230112-1053,12980,4379,6
20230113-1055,12986,4380,6
20230114-1104,12991,4380,6
20230115-1046,12985,4378,6
20230116-1105,12974,4372,6
20230117-1057,12976,4374,6
20230118-1104,12979,4380,6
20230119-1103,12969,4379,6
20230120-1055,12983,4379,6
20230121-1041,12992,4376,6
20230122-1036,12985,4374,6
20230123-1043,12976,4368,6
20230124-1047,12966,4366,6
20230125-1038,12954,4365,6
20230126-1104,12950,4362,6
20230127-1045,12939,4360,6
20230128-1046,0,0,0
20230129-1036,12941,4357,6
20230130-1102,12929,4351,6
20230131-1053,12935,4357,6
20230202-1043,12945,4359,6
20230203-1103,12946,4361,6
20230204-1042,12957,4365,6
20230207-1053,12936,4356,6
20230208-1112,12936,4359,6
20230209-1051,12946,4359,6
20230210-1057,12952,4363,6
20230211-1052,12956,4365,6
20230212-1053,12953,4361,6
20230213-1116,12946,4357,6
20230214-1057,12948,4358,6
20230215-1057,12949,4357,6
20230216-1058,12942,4358,6
20230217-1047,12934,4355,6
20230218-1035,12944,4360,6
20230219-1040,12939,4358,6
20230220-1043,12933,4354,6
20230221-1048,12944,4352,6
20230222-1050,12942,4354,6
20230223-1058,12948,4357,6
20230224-1045,12951,4359,6
20230225-1041,12956,4365,6
20230226-1038,12951,4362,6
20230227-1052,12946,4360,6
20230228-1052,12941,4360,6
20230301-1047,12954,4359,6
